KEEP,THEMES,mid,member,year,type,title,venue,authors,doi,published_version
,general,thomsen-stephan,Stephan Thomsen,2011,article,Variation of Learning Intensity in Late Adolescence and the Impact on Noncognitive Skills,SSRN Electronic Journal,Bettina Büttner · Hendrik Thiel · Stephan Lothar Thomsen,10.2139/ssrn.1759409,
,general,thomsen-stephan,Stephan Thomsen,2010,article,Temporary Extra Jobs for Immigrants: Merging Lane to Employment or Dead‐End Road in Welfare?,LABOUR 24(s1),Stephan L. Thomsen · Thomas Walter,10.1111/j.1467-9914.2010.00505.x,
x,historical,thomsen-stephan,Stephan Thomsen,2010,article,Which One to Choose? Evidence on the Choice and Success of Job Search Methods,Journal of Contextual Economics – Schmollers Jahrbuch 130(4),Stephan L. Thomsen · Mick Wittich,10.3790/schm.130.4.445,
,general,thomsen-stephan,Stephan Thomsen,2010,article,Are Personal Budgets a Financially Sound Reform Option for the German Long-Term Care Insurance?,Jahrbücher für Nationalökonomie und Statistik 230(4),Melanie Arntz · Stephan L. Thomsen,10.1515/jbnst-2010-0402,
,general,thomsen-stephan,Stephan Thomsen,2010,article,How do the employment effects of job creation schemes differ with respect to the foregoing unemployment duration?,Labour Economics 17(1),Reinhard Hujer · Stephan L. Thomsen,10.1016/j.labeco.2009.07.001,
,general,thomsen-stephan,Stephan Thomsen,2010,chapter,10 Der Zugang zu arbeitsmarktpolitischen Maßnahmen in der Grundsicherung für Arbeitsuchende von Personen mit und ohne Migrationshintergrund im Vergleich,Arbeitsmarktintegration und Integrationspolitik - zur notwendigen Verknüpfung zweier Politikfelder,Stephan Thomsen · Thomas Walter,10.5771/9783845226064-161,
,general,thomsen-stephan,Stephan Thomsen,2010,article,The social long-term care insurance: A frail pillar of the german social insurance system,CESifo DICE Report,Stephan Thomsen,,
,general,thomsen-stephan,Stephan Thomsen,2010,article,Short-Term Training Programs for Immigrants: Do Effects Differ from Natives and Why?,SSRN Electronic Journal,Alisher Aldashev · Stephan Lothar Thomsen · Thomas Walter,10.2139/ssrn.1589563,
,general,thomsen-stephan,Stephan Thomsen,2010,article,"The Social Long-Term Care Insurance in Germany: Origin, Situation, Threats, and Perspectives",SSRN Electronic Journal,Stephan Lothar Thomsen,10.2139/ssrn.1589510,
x,general,thomsen-stephan,Stephan Thomsen,2009,article,Explaining the Employability Gap of Short‐Term and Long‐Term Unemployed Persons,Kyklos 62(3),Stephan L. Thomsen,10.1111/j.1467-6435.2009.00445.x,
,general,thomsen-stephan,Stephan Thomsen,2009,article,"Language usage, participation, employment and earnings",Labour Economics 16(3),Alisher Aldashev · Johannes Gernandt · Stephan L. Thomsen,10.1016/j.labeco.2008.11.004,
,general,thomsen-stephan,Stephan Thomsen,2008,article,Identifying effect heterogeneity to improve the efficiency of job creation schemes in Germany,Applied Economics 40(9),Marco Caliendo · Reinhard Hujer · Stephan L. Thomsen,10.1080/00036840500438897,
,general,thomsen-stephan,Stephan Thomsen,2008,article,Crowding Out Informal Care? Evidence from a Social Experiment in Germany,SSRN Electronic Journal,Melanie Arntz · Stephan Lothar Thomsen,10.2139/ssrn.1338724,
,general,thomsen-stephan,Stephan Thomsen,2008,article,"Language Usage, Participation, Employment and Earnings - Evidence for Foreigners in West Germany with Multiple Sources of Selection",SSRN Electronic Journal,Alisher Aldashev · Johannes Gernandt · Stephan Lothar Thomsen,10.2139/ssrn.1307646,
,general,thomsen-stephan,Stephan Thomsen,2008,article,Reforming Home Care Provision in Germany - Evidence from a Social Experiment,SSRN Electronic Journal,Melanie Arntz · Stephan Lothar Thomsen,10.2139/ssrn.1338713,
,general,thomsen-stephan,Stephan Thomsen,2008,article,The Immigrant Wage Gap in Germany,SSRN Electronic Journal,Alisher Aldashev · Johannes Gernandt · Stephan Lothar Thomsen,10.2139/ssrn.1307677,
,general,thomsen-stephan,Stephan Thomsen,2008,chapter,The employment effects of job-creation schemes in Germany: A microeconometric evaluation,Modelling and Evaluating Treatment Effects in Econometrics,Marco Caliendo · Reinhard Hujer · Stephan L. Thomsen,10.1016/s0731-9053(07)00013-8,
,general,thomsen-stephan,Stephan Thomsen,2007,article,Earnings Prospects for People With Migration Background in Germany,SSRN Electronic Journal,Alisher Aldashev · Johannes Gernandt · Stephan Lothar Thomsen,10.2139/ssrn.988652,
,general,thomsen-stephan,Stephan Thomsen,2006,article,The effects of vocational training programmes on the duration of unemployment in Eastern Germany,Allgemeines Statistisches Archiv 90(2),Reinhard Hujer · Stephan L. Thomsen · Christopher Zeiss,10.1007/s10182-006-0235-z,
,general,thomsen-stephan,Stephan Thomsen,2006,article,Sectoral Heterogeneity in the Employment Effects of Job Creation Schemes in Germany,Jahrbücher für Nationalökonomie und Statistik 226(2),Marco Caliendo · Reinhard Hujer · Stephan L. Thomsen,10.1515/jbnst-2006-0203,
,general,thomsen-stephan,Stephan Thomsen,2006,article,How Do Employment Effects of Job Creation Schemes Differ with Respect to the Foregoing Unemployment Duration?,SSRN Electronic Journal,Reinhard Hujer · Stephan Lothar Thomsen,10.2139/ssrn.913948,
,general,thomsen-stephan,Stephan Thomsen,2006,article,The Effects of Short-Term Training Measures on the Individual Unemployment Duration in West Germany,SSRN Electronic Journal,Reinhard Hujer · Stephan Lothar Thomsen · Christopher Zeiss,10.2139/ssrn.932043,
,general,thomsen-stephan,Stephan Thomsen,2005,article,Identifying Effect Heterogeneity to Improve the Effiency of Job Creation Schemes in Germany?,SSRN Electronic Journal,Marco Caliendo · Reinhard Hujer · Stephan Lothar Thomsen,10.2139/ssrn.711065,
,general,thomsen-stephan,Stephan Thomsen,2004,article,New evidence on the effects of job creation schemes in Germany—a matching approach with threefold heterogeneity,Research in Economics 58(4),Reinhard Hujer · Marco Caliendo · Stephan L. Thomsen,10.1016/j.rie.2004.07.001,
,general,thomsen-stephan,Stephan Thomsen,2004,wp,The Effects of Vocational Training Programmes on the Duration of Unemployment in Eastern Germany,Elsevier BV,Reinhard Hujer · Stephan Lothar Thomsen · Christopher Zeiss,10.2139/ssrn.533806,Allgemeines Statistisches Archiv (journal-article) doi:10.1007/s10182-006-0235-z
